text,datetime,time_text
"17 tuntutan rakyat dalam satu minggu ke depan, dan 8 tuntutan rakyat dalam satu tahun ke depan.  Ayo  @prabowo   @gibran_tweet   @DPR_RI   @DivHumas_Polri  - Sesuai pidato bapak presiden kemarin, aspirasi ini kami sampaikan dengan jelas dan tertib.  BUKTIKAN ANDA SEKALIAN BERSAMA RAKYAT.",2025-09-01T04:50:30.000Z,"11:50 AM · Sep 1, 2025"
"dr pemilu kemaren banyak kan bajer sm org2 bego yg blg ""cb lu kasih solusi, jan kritik pemerintah aj"". nih, nih udh dikasi tau ap2 aj yg harus dilakuin. kl g dilakuin jg, emang dasaran mereka aj yg gila kekuasaan dan rakus.",2025-09-01T11:38:25.000Z,Sep 1
UU perampasan aset harus sudah ketok palu maksimal di tanggal 5 September. Ngapain harus nunggu setahun? Mau ngasih waktu buat koruptor?,2025-09-01T15:53:51.000Z,Sep 1
kalo gk terpenuhi apa yg bakal di lakuin?,2025-09-01T15:08:00.000Z,Sep 1
"Jangan cuma pendemo yang dikasih tenggat waktu, pemerintah bisa seenaknya, tarik ulur, minta maaf doank trus nanti diperbaiki, kapan? sudah ada listnya dari rakyat dan jg tenggat waktu, pemerintah harus ambil sikap tegas bela rakyat.",2025-09-01T11:20:23.000Z,Sep 1
"Berharap kepada Pejabat², dan Penyelenggara Negara untuk mengeksekusi seluruh point tuntutan² rakyat adalah sebuah kepolosan  Masih percaya? Saya tidak. Yang harus dieksekusi pertama adalah mereka Pejabat Ekskutif, Legislatif, dan Penegak Hukum. Kita ada di [cont.]",2025-09-01T06:46:51.000Z,Sep 1
.,2025-09-04T11:36:25.000Z,Sep 4
"Ini lho yg harus di masukkan   Hapuskan tunjangan pensiun dpr/d Hapuskan alokasi dana ke parpol dari APBN Reformasi BUMN, struktur insentif tunjangan bagi hasil yg selalu menguntungkan pejabat dan komisarisnya padahal bumnnya merugi",2025-09-01T19:00:50.000Z,Sep 2
Samakan rakyat dan wakilnya  PAJAK RAKYAT DIBAYAR NEGARA,2025-09-01T09:27:28.000Z,Sep 1
Kenaikan pajak gk masuk y bang?,2025-09-01T10:40:57.000Z,Sep 1
"semua yng kita tuntut ini bare minimum negara dan bahkan aku rasa satu aja susah bgt buat dilakuinsoalng isiny cuma bikin blunder, pas org demo dibatalin gitu2 aja terus",2025-09-01T19:31:20.000Z,Sep 2
"masing masing cuma 3 tugas, kalo masih ga mampu, wallahi..",2025-09-01T23:27:58.000Z,Sep 2
Tuntutanya kok gak sama kaya BEM ui om...?  Penyidkan transparan agggota brimob gak di masukin....?,2025-09-02T13:37:36.000Z,Sep 2
ganti kapolri,2025-09-01T16:09:32.000Z,Sep 1
Uppp,2025-09-01T14:49:03.000Z,Sep 1
Pesismis banget terpenuhi sama yang budeg dan buta,2025-09-02T09:08:32.000Z,Sep 2
ga ada makzulkan anake dan adili bapake yaa???,2025-09-01T12:35:48.000Z,Sep 1
apakah menaikkan pangkat polisi ada dalam tuntutan itu?,2025-09-01T16:16:25.000Z,Sep 1
"Kebanyakan tuntutan malah ga ada yg jadi, tapi bolehlah semangatnya, GANBATTE!",2025-09-02T00:45:12.000Z,Sep 2
"Ni dikasih program kerja bagus nih, dibanding MBG yang nampannya pakai zat berbahaya",2025-09-01T12:33:07.000Z,Sep 1
Deal,2025-09-02T16:25:42.000Z,Sep 2
Gak bakal digubris aki2 pikun,2025-09-02T04:58:51.000Z,Sep 2
19 juta lapangan padle,2025-09-02T15:12:31.000Z,Sep 2
Up,2025-09-01T05:20:31.000Z,Sep 1
Kawal,2025-09-01T12:56:40.000Z,Sep 1
"Ah, kok muncul terus menerapkan KPI buat anggota DPR ini ya? Trias Politika jangan dijalankan pakai cara ngelola perusahaan woi.",2025-09-01T14:09:32.000Z,Sep 1
@prabowo  MELEK GA!!!,2025-09-01T17:33:27.000Z,Sep 2
Smg diberikan kemudahan eksekusi sesuai dg harapan rakyat,2025-09-01T10:00:18.000Z,Sep 1
Terimakasih bang Adrian. Terus berjuang dan bersuara.,2025-09-01T07:48:46.000Z,Sep 1
Udah dijabarkan dengan rinci dan jelas semoga dibaca yaa,2025-09-01T10:28:09.000Z,Sep 1
Resulffle kabinet apakah ada? Menteri yg tdk bisa kerja dan hanya terima orderan gmn?,2025-09-01T15:31:35.000Z,Sep 1
Itu sulit banget kyknya untuk dikerjain sama dpr. Apalagi masalah pengesahan uu perampasan asset. Like it is impossible bruh.,2025-09-02T02:45:19.000Z,Sep 2
adili mulyono dan kroninya,2025-09-01T16:10:14.000Z,Sep 1
Ak belum menemukan yg menurunkan gaji,2025-09-01T06:56:50.000Z,Sep 1
"Tambahin juga: REFORMASI KEPOLISIAN!! mulai dari rekrutmen yg jujur tanpa pungli, sampai, pelaporan kepolisian yg mudah & bebas pungli, perbaikan pelayanan Polisi, dll... Kepolisian kita harus bebas dr korupsi & kekerasan thdp sipil",2025-09-01T04:53:09.000Z,Sep 1
18. tembak mati bahlil,2025-09-01T05:55:27.000Z,Sep 1
RUU Perampasan Aset Koruptor berlaku surutlah.,2025-09-02T09:28:36.000Z,Sep 2
"Stop Provokasi, Pilih Demokrasi Damai",2025-09-09T02:50:39.000Z,Sep 9
tuntutan bodoh tidak menyentuh substansi inti dari kebrangkutan adalah penegakan hukum selama ini yang mendukung pemerintah aman UUP kalolah di sahkan tapi jika instrumen masih kacung penguasa ntar malah nyasar orang yang tidak bersalah,2025-09-02T22:38:07.000Z,Sep 3
"Kenapa cuma DPR ya yg di kejar, padahal sumber pemborosan APBN yang paling besar itu krn birokrasi kementerian/lembaga/badan yg bertambah 2x lipat dr sebelumnya. Berati tambah juga jabatan2 di bawahnya, wamen rangkap jabtn, tambah Stafsus2 ratusn org dr timsesnya gaji nya gede2",2025-09-01T08:54:32.000Z,Sep 1
Ngerinya Negeriku,2025-09-02T23:23:52.000Z,Sep 3
"Ini saya setuju .. banyak PR pak harus segera dilaksanakan , saya harap bapak jangan kunjungan dulu keluar negeri , bapak harus memantau bawahan untuk menyelesaikan tuntutan rakyat.",2025-09-03T04:38:53.000Z,Sep 3
17+8 TUNTUNAN RAKYAT   @prabowo   @gibran_tweet   @DPR_RI   @DivHumas_Polri  BUKTIKAN ANDA SEKALIAN BERSAMA RAKYAT,2025-09-02T05:37:45.000Z,Sep 2
"Tuntutan selanjutnya, batalkan kenaikan pangkat polisi, rakyat juga terluka, malah lebih parah, yg harus kamu lakukan itu copot jendral nya",2025-09-02T13:11:26.000Z,Sep 2
"Apa makna dari warna pink dan hijau, 17+8 tuntutan rakyat  @grok  ?",2025-09-01T14:37:58.000Z,Sep 1
Pajak mana kok gak ada,2025-09-01T23:15:44.000Z,Sep 2
"Sebenarnya apapun kebijakannya yg penting tidak memberatkan rakyat. Karena kalau masalah gaji kita tidak tahu mereka di transfer berapa.Seharusnya fokusnya pajak jangan di naikan kalau bisa di turunkan, SIM berlaku seumur hidup seperti KTP, dan tidak ada pajak 5 tahunan kendaraan",2025-09-01T11:07:47.000Z,Sep 1
"Sudah mau bau tanah kuburan, masih gak punya nurani ! ! !",2025-09-05T09:23:22.000Z,Sep 5
"PLEASE GIVE LIKE GUYS ,, THANKSS #MotoGP #F1 #GTWorldAsia #ManchesterUnited #RealBetis #PremierLeague #LaLiga #DPRRI #Trump #transferlernerededursunözbek   https:// x.com/ProfJrii/statu s/1960940618324357373 …",2025-09-01T10:55:23.000Z,Sep 1
"Tarik TNI  dari pengamanan sipil?  Dri video2 yg beredar di medsos, pendemo tampaknya lebih respect dgn tni Saran  : revisi UU TNI . TNI yf diduga kejahatan tidak saat tugas militer. WAJIB peradilan Umum (sipil) yg  terbuka utk umum,bukan pengadilan militer dan tdk hanya pom tni",2025-09-01T17:20:19.000Z,Sep 2
"Izin bertanya, jangan diserang  kenapa tidak ada tuntutan agar dilakukan  penegakan hukum kepada pelaku kejahatan ketika demo meskipun pelaku itu dri unsur sipil, masy juga byk yg resah terkait pembakaran dan pengrusakan, mis makasar pembakaran menyebabkan 4 org meninggal dunia",2025-09-01T16:43:55.000Z,Sep 1
turunkan pajak,2025-09-02T07:34:05.000Z,Sep 2
Yg ini lebih maknyus,2025-09-02T22:55:02.000Z,Sep 3
Reformasi pendapatan DPR harus di-PEG/ di-batasi maksimum sekian kali upah UMR Bohong namanya wakil rakyat kl ternyata penghasilan nya ratusan kali standar UMR..,2025-09-02T01:39:07.000Z,Sep 2
"Kurang 1, tinjau ulang kebijakan dan mekanisme MBG, libatkan BRIN untuk kajian. Efisiensi kesedot ke sana.",2025-09-01T08:04:36.000Z,Sep 1
elu emg siapa bro nuntut ini itu sok paham persoalan ngikut2 doang,2025-09-01T05:54:37.000Z,Sep 1
"Buku merah Tito Karnavian, Jokowi km50  Gibran Anak haram konstitusi !! #RUUHUKUMMATIKORUPTOR",2025-09-01T05:48:24.000Z,Sep 1
Orang-orang yang masih terlibat dengan keluarga Jokowi dan yang mendukung dinasti Jokowi dan anaknya harus di hukum mati !! Bangkitnya kesadaran dari sistem yang zolim #indonesia #RUUHUKUMMATIKORUPTOR,2025-09-01T05:48:21.000Z,Sep 1
"Anggota Kolektif 17+8 Indonesia Berbenah, Andhyta F. Utami, menjelaskan latar belakang penyusunan tuntutan 17+8.  #TempoHarian #TempoPlus",2025-09-14T01:29:33.000Z,8.29 AM · 14 Sep 2025
Selengkapnya baca di sini,2025-09-14T01:29:34.000Z,14 Sep
Nepal ga pake visual aesthetic gini tp berhasil,2025-09-14T08:44:37.000Z,14 Sep
"Minimal kalau sehat mental dan berani hadapi diskursus & dinamika ga tutup akun.Lah ini penggagas macam afutami beda pendapat aja, dia kabur,gimana mau mendengar suara-suara marjinal,akar rumput (grassroot) sukanya yg elitis-elitis sesuai kepentingannya. Diminta bukti,kosong.",2025-09-14T10:03:26.000Z,14 Sep
"Gue liat yg komen disini banyak intelijen anjirr nyamar jadi netijen julid. Ahh strategi lama kalian merusak gerakan emang masih paten jurus kalian, selamat ya agen BIN. BAJINGAN!",2025-09-15T17:02:58.000Z,16 Sep
Sdh nga jaman influencers. Let people directly talk and take down.,2025-09-14T23:19:17.000Z,15 Sep
"akuilah kalian ini yang melemahkan dan menunggangi gerakan. orang lain merespon dengan kemarahan sementara kalian imajinasinya mentok dengan aturan persuratan? ohh dude, come on",2025-09-15T10:14:02.000Z,15 Sep
Giliran ada yg gerak malah dimusuhin wk. Gak ketolong lo semua,2025-09-15T15:12:37.000Z,15 Sep
Buat Transparansi Arah Kebijakan Dan Gerakan Seperti Ini...Agar Bisa Diakses Oleh Semua Orang...File Lengkap Ada Di Link Di Bio...,2025-09-15T09:41:46.000Z,15 Sep
Jadi ini rasanya diboncengi NICA,2025-09-15T06:53:31.000Z,15 Sep
semua influencer IQ 17+8 cuma bawa celaka gak usah didengerin.,2025-09-14T20:36:12.000Z,15 Sep
Reformasi yang semi reset aja gagal total.. ginian emang ngefek? Kek nya cuma geli2 doang.. anehnya sudah muncul pahlawan2 influencer tanpa perubahan apa-apa.. gini2 aja..,2025-09-14T04:30:37.000Z,14 Sep
