created_at,full_text
2025-09-01 04:50:30+00:00,"17 tuntutan rakyat dalam satu minggu ke depan, dan 8 tuntutan rakyat dalam satu tahun ke depan.  Ayo  @prabowo   @gibran_tweet   @DPR_RI   @DivHumas_Polri  - Sesuai pidato bapak presiden kemarin, aspirasi ini kami sampaikan dengan jelas dan tertib.  BUKTIKAN ANDA SEKALIAN BERSAMA RAKYAT."
2025-09-01 11:38:25+00:00,"dr pemilu kemaren banyak kan bajer sm org2 bego yg blg ""cb lu kasih solusi, jan kritik pemerintah aj"". nih, nih udh dikasi tau ap2 aj yg harus dilakuin. kl g dilakuin jg, emang dasaran mereka aj yg gila kekuasaan dan rakus."
2025-09-01 15:53:51+00:00,UU perampasan aset harus sudah ketok palu maksimal di tanggal 5 September. Ngapain harus nunggu setahun? Mau ngasih waktu buat koruptor?
2025-09-01 15:08:00+00:00,kalo gk terpenuhi apa yg bakal di lakuin?
2025-09-01 11:20:23+00:00,"Jangan cuma pendemo yang dikasih tenggat waktu, pemerintah bisa seenaknya, tarik ulur, minta maaf doank trus nanti diperbaiki, kapan? sudah ada listnya dari rakyat dan jg tenggat waktu, pemerintah harus ambil sikap tegas bela rakyat."
2025-09-01 06:46:51+00:00,"Berharap kepada Pejabat², dan Penyelenggara Negara untuk mengeksekusi seluruh point tuntutan² rakyat adalah sebuah kepolosan  Masih percaya? Saya tidak. Yang harus dieksekusi pertama adalah mereka Pejabat Ekskutif, Legislatif, dan Penegak Hukum. Kita ada di [cont.]"
2025-09-04 11:36:25+00:00,.
2025-09-01 19:00:50+00:00,"Ini lho yg harus di masukkan   Hapuskan tunjangan pensiun dpr/d Hapuskan alokasi dana ke parpol dari APBN Reformasi BUMN, struktur insentif tunjangan bagi hasil yg selalu menguntungkan pejabat dan komisarisnya padahal bumnnya merugi"
2025-09-01 09:27:28+00:00,Samakan rakyat dan wakilnya  PAJAK RAKYAT DIBAYAR NEGARA
2025-09-01 10:40:57+00:00,Kenaikan pajak gk masuk y bang?
2025-09-01 19:31:20+00:00,"semua yng kita tuntut ini bare minimum negara dan bahkan aku rasa satu aja susah bgt buat dilakuinsoalng isiny cuma bikin blunder, pas org demo dibatalin gitu2 aja terus"
2025-09-01 23:27:58+00:00,"masing masing cuma 3 tugas, kalo masih ga mampu, wallahi.."
2025-09-02 13:37:36+00:00,Tuntutanya kok gak sama kaya BEM ui om...?  Penyidkan transparan agggota brimob gak di masukin....?
2025-09-01 16:09:32+00:00,ganti kapolri
2025-09-01 14:49:03+00:00,Uppp
2025-09-02 09:08:32+00:00,Pesismis banget terpenuhi sama yang budeg dan buta
2025-09-01 12:35:48+00:00,ga ada makzulkan anake dan adili bapake yaa???
2025-09-01 16:16:25+00:00,apakah menaikkan pangkat polisi ada dalam tuntutan itu?
